"query","required_domains","architecture","reward","coverage","extra_domains","num_agents","num_edges","num_tool_domains","source_path"
"Delete my first meeting on December 13","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"Cancel my first meeting on December 13","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"can you cancel my first meeting on December 1","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"can you cancel my first meeting on December 8","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"can you cancel my first meeting on December 6","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"Cancel my first meeting on December 18","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'analytics', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'company_directory.find_email_address']}]}","1.0999999999999999","1.0","2.0","1.0","0.0","3.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"Delete my first meeting on December 6","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'analytics', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'company_directory.find_email_address']}]}","1.0999999999999999","1.0","2.0","1.0","0.0","3.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"Delete my first meeting on December 18","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'analytics', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'analytics.get_visitor_information_by_id', 'analytics.create_plot', 'analytics.total_visits_count', 'analytics.engaged_users_count', 'analytics.traffic_source_count', 'analytics.get_average_session_duration', 'company_directory.find_email_address']}]}","1.0999999999999999","1.0","2.0","1.0","0.0","3.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"Delete my first meeting on December 12","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
"Cancel my first meeting on December 7","['calendar']","{'num_agents': 1, 'adjacency': [[0]], 'edges': [], 'agents': [{'id': 0, 'commands': [], 'tool_domains': ['calendar', 'company_directory'], 'tools': ['calendar.get_event_information_by_id', 'calendar.search_events', 'calendar.create_event', 'calendar.delete_event', 'calendar.update_event', 'company_directory.find_email_address']}]}","1.2499999999999998","1.0","1.0","1.0","0.0","2.0","data\processed\queries_and_answers\calendar_queries_and_answers.csv"
